+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|     Hyperparameters     |    MSE    | Visited@6 | Visited@3 | HitRate@6 | HitRate@3 |  AP@6  |  AP@3  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|   alpha:0.1, factors:5  |  0.000443 |   0.1216  |   0.0943  |   0.0842  |   0.067   | 0.0945 | 0.0732 |
|  alpha:0.1, factors:10  | 0.0004318 |   0.1635  |   0.1239  |   0.0948  |   0.0719  | 0.1115 | 0.0804 |
|  alpha:0.1, factors:20  | 0.0004151 |   0.215   |   0.1799  |   0.1205  |   0.0984  | 0.1034 | 0.0781 |
|  alpha:0.1, factors:40  | 0.0003913 |   0.2836  |   0.2426  |   0.1301  |   0.1013  | 0.1107 | 0.0763 |
|  alpha:0.1, factors:60  | 0.0003712 |   0.3318  |   0.2867  |   0.1409  |   0.1084  | 0.1117 | 0.079  |
|  alpha:0.1, factors:100 | 0.0003394 |   0.3967  |   0.3496  |   0.1443  |   0.1118  | 0.111  | 0.072  |
|   alpha:10, factors:5   | 0.0007069 |   0.2252  |   0.1763  |   0.1587  |   0.1206  | 0.1402 | 0.0998 |
|   alpha:10, factors:10  | 0.0007709 |   0.314   |   0.2371  |   0.1909  |   0.1492  | 0.1788 | 0.133  |
|   alpha:10, factors:20  | 0.0008314 |   0.4325  |   0.3552  |   0.2345  |   0.1845  | 0.2089 | 0.1544 |
|   alpha:10, factors:40  | 0.0008676 |   0.5745  |   0.4721  |   0.2656  |   0.2091  | 0.2267 | 0.1623 |
|   alpha:10, factors:60  | 0.0008656 |   0.6592  |   0.5524  |   0.2791  |   0.2173  | 0.2272 | 0.1532 |
|  alpha:10, factors:100  | 0.0008231 |   0.7658  |   0.6611  |   0.2855  |   0.2166  | 0.2004 | 0.1325 |
|   alpha:100, factors:5  | 0.0074956 |   0.2612  |   0.1871  |   0.1564  |   0.1156  | 0.0965 | 0.0618 |
|  alpha:100, factors:10  | 0.0076985 |   0.4189  |   0.3162  |   0.2189  |   0.1675  | 0.169  | 0.1188 |
|  alpha:100, factors:20  |  0.007056 |   0.6041  |   0.4627  |   0.2601  |   0.2014  | 0.1903 | 0.1282 |
|  alpha:100, factors:40  |  0.005637 |   0.8103  |   0.658   |   0.2918  |   0.2249  | 0.2192 | 0.1493 |
|  alpha:100, factors:60  | 0.0046253 |   0.8903  |   0.7622  |   0.2993  |   0.231   | 0.2257 | 0.1473 |
|  alpha:100, factors:100 | 0.0033802 |   0.9496  |   0.8573  |   0.2995  |   0.2316  | 0.2224 | 0.1428 |
|  alpha:1000, factors:5  | 0.0501928 |   0.2389  |   0.1554  |   0.1176  |   0.0826  | 0.0559 | 0.035  |
|  alpha:1000, factors:10 | 0.0346195 |   0.4807  |   0.3332  |   0.1802  |   0.128   | 0.0705 | 0.0366 |
|  alpha:1000, factors:20 | 0.0212017 |   0.7885  |   0.6171  |   0.2401  |   0.179   | 0.117  | 0.0669 |
|  alpha:1000, factors:40 | 0.0119159 |   0.9425  |   0.8487  |   0.2786  |   0.2161  | 0.1389 | 0.0862 |
|  alpha:1000, factors:60 | 0.0082482 |   0.9624  |   0.8955  |   0.2845  |   0.2232  | 0.1635 | 0.1019 |
| alpha:1000, factors:100 |  0.005057 |   0.9712  |   0.9167  |   0.2868  |   0.2228  | 0.183  | 0.1203 |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
