+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|     Hyperparameters     |    MSE    | Visited@6 | Visited@3 | HitRate@6 | HitRate@3 |  AP@6  |  AP@3  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|   alpha:0.1, factors:5  | 0.0077778 |   0.3578  |   0.2656  |   0.2931  |   0.1604  | 0.2632 | 0.1291 |
|  alpha:0.1, factors:10  | 0.0054487 |   0.5137  |   0.4379  |   0.189   |   0.1215  | 0.2106 | 0.109  |
|  alpha:0.1, factors:20  | 0.0031269 |   0.6354  |   0.5356  |   0.106   |   0.0587  | 0.1155 | 0.0635 |
|  alpha:0.1, factors:40  | 0.0010961 |   0.7716  |   0.6251  |   0.0458  |   0.0293  | 0.0425 | 0.0227 |
|  alpha:0.1, factors:60  | 0.0005619 |   0.8141  |   0.6474  |   0.0339  |   0.0206  | 0.0288 | 0.0125 |
|  alpha:0.1, factors:100 |  8.99e-05 |   0.8645  |   0.6779  |   0.0256  |   0.0148  | 0.0166 | 0.0055 |
|   alpha:10, factors:5   | 0.0167509 |   0.525   |   0.3409  |   0.2232  |   0.1381  | 0.1668 | 0.0985 |
|   alpha:10, factors:10  | 0.0124455 |   0.6534  |   0.4899  |   0.1953  |   0.1149  | 0.1501 | 0.0794 |
|   alpha:10, factors:20  | 0.0065968 |   0.7904  |   0.6213  |   0.1691  |   0.104   | 0.1359 | 0.0649 |
|   alpha:10, factors:40  |  0.002156 |   0.8911  |   0.6873  |   0.0986  |   0.0688  | 0.0859 | 0.0441 |
|   alpha:10, factors:60  | 0.0007834 |   0.9136  |   0.7034  |   0.0754  |   0.0539  | 0.0626 | 0.0323 |
|  alpha:10, factors:100  |  7.73e-05 |   0.9244  |   0.7125  |   0.0441  |   0.029   | 0.0349 | 0.0144 |
|   alpha:100, factors:5  | 0.0493141 |   0.3284  |   0.1668  |   0.1927  |   0.1153  | 0.1654 | 0.0973 |
|  alpha:100, factors:10  | 0.0282599 |   0.5174  |   0.2971  |   0.1809  |   0.1055  | 0.1412 | 0.0846 |
|  alpha:100, factors:20  | 0.0112618 |   0.7895  |   0.5531  |   0.185   |   0.1144  | 0.132  | 0.0677 |
|  alpha:100, factors:40  | 0.0029803 |   0.9226  |   0.7078  |   0.1572  |   0.1087  | 0.0953 | 0.0351 |
|  alpha:100, factors:60  | 0.0009506 |   0.929   |   0.7146  |   0.1013  |   0.0713  | 0.066  | 0.029  |
|  alpha:100, factors:100 |  7.75e-05 |   0.9294  |   0.7159  |   0.0555  |   0.0404  | 0.0348 | 0.0144 |
|  alpha:1000, factors:5  | 0.0830564 |   0.2158  |   0.1154  |   0.1445  |   0.098   | 0.1336 | 0.0872 |
|  alpha:1000, factors:10 | 0.0425851 |   0.3768  |   0.2277  |   0.1364  |   0.0815  | 0.1123 | 0.0648 |
|  alpha:1000, factors:20 | 0.0152341 |   0.7142  |   0.4793  |   0.1592  |   0.0984  | 0.1001 | 0.0497 |
|  alpha:1000, factors:40 | 0.0032668 |   0.9023  |   0.6884  |   0.1606  |   0.1013  | 0.0936 | 0.0366 |
|  alpha:1000, factors:60 | 0.0009765 |   0.9276  |   0.7158  |   0.1172  |   0.0747  | 0.0759 | 0.0263 |
| alpha:1000, factors:100 |  7.76e-05 |   0.9295  |   0.7176  |   0.0582  |   0.0418  | 0.0424 | 0.0185 |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
