+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|     Hyperparameters     |    MSE    | Visited@6 | Visited@3 | HitRate@6 | HitRate@3 |  AP@6  |  AP@3  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|   alpha:0.1, factors:5  | 0.0032613 |   0.3187  |   0.2799  |   0.269   |   0.245   | 0.1749 | 0.1616 |
|  alpha:0.1, factors:10  | 0.0026787 |   0.4811  |   0.4285  |   0.4022  |   0.3696  | 0.2728 |  0.23  |
|  alpha:0.1, factors:20  | 0.0021421 |   0.5706  |   0.5268  |   0.3364  |   0.301   | 0.289  | 0.243  |
|  alpha:0.1, factors:40  | 0.0016026 |   0.7094  |   0.6661  |   0.3158  |   0.2707  | 0.2297 | 0.1888 |
|  alpha:0.1, factors:60  | 0.0013103 |   0.7759  |   0.7316  |   0.2674  |   0.2221  | 0.2004 | 0.1575 |
|  alpha:0.1, factors:100 | 0.0009281 |   0.8467  |   0.8089  |   0.1714  |   0.1479  | 0.1399 | 0.0794 |
|   alpha:10, factors:5   | 0.0065349 |   0.5975  |   0.5187  |   0.4954  |   0.4451  | 0.5596 | 0.4333 |
|   alpha:10, factors:10  | 0.0057383 |   0.7386  |   0.6443  |   0.6112  |   0.5494  | 0.6776 | 0.5888 |
|   alpha:10, factors:20  | 0.0045714 |   0.8622  |   0.7747  |   0.697   |   0.6464  | 0.7528 |  0.67  |
|   alpha:10, factors:40  | 0.0032204 |   0.9392  |   0.8669  |   0.7273  |   0.6813  | 0.6717 | 0.5012 |
|   alpha:10, factors:60  | 0.0024015 |   0.9641  |   0.9086  |   0.7245  |   0.678   | 0.5721 | 0.4295 |
|  alpha:10, factors:100  | 0.0014479 |   0.9843  |   0.9428  |   0.6957  |   0.6245  | 0.3974 | 0.3123 |
|   alpha:100, factors:5  |  0.035838 |   0.6691  |   0.5253  |   0.5451  |   0.4409  | 0.5516 | 0.381  |
|  alpha:100, factors:10  | 0.0238399 |   0.8349  |   0.7056  |   0.6584  |   0.5882  | 0.6698 | 0.5038 |
|  alpha:100, factors:20  | 0.0137091 |   0.9444  |   0.8466  |   0.732   |   0.6836  | 0.7454 | 0.6148 |
|  alpha:100, factors:40  | 0.0067756 |   0.9858  |   0.9135  |   0.746   |   0.7025  | 0.8037 | 0.6577 |
|  alpha:100, factors:60  | 0.0041664 |   0.9931  |   0.9462  |   0.7418  |   0.697   | 0.8225 | 0.6519 |
|  alpha:100, factors:100 | 0.0020374 |   0.9956  |   0.9631  |   0.7204  |   0.6787  | 0.5733 | 0.414  |
|  alpha:1000, factors:5  | 0.0718426 |   0.6672  |   0.5078  |   0.4734  |   0.3782  | 0.1553 | 0.0976 |
|  alpha:1000, factors:10 | 0.0371857 |   0.8579  |   0.7513  |   0.6237  |   0.5165  | 0.2921 | 0.1683 |
|  alpha:1000, factors:20 | 0.0177989 |   0.9642  |   0.9038  |   0.7061  |   0.6598  | 0.4058 | 0.2615 |
|  alpha:1000, factors:40 | 0.0077738 |   0.9923  |   0.9537  |   0.7405  |   0.6965  | 0.6148 | 0.4875 |
|  alpha:1000, factors:60 | 0.0045953 |   0.9952  |   0.963   |   0.7457  |   0.7015  | 0.6895 | 0.5417 |
| alpha:1000, factors:100 | 0.0021686 |   0.996   |   0.9678  |   0.7284  |   0.6878  | 0.5488 | 0.395  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
