+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|     Hyperparameters     |    MSE    | Visited@6 | Visited@3 | HitRate@6 | HitRate@3 |  AP@6  |  AP@3  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|   alpha:0.1, factors:5  | 0.0017145 |   0.1195  |   0.0862  |   0.0949  |   0.0691  | 0.0652 | 0.0504 |
|  alpha:0.1, factors:10  | 0.0016351 |   0.1839  |   0.1513  |   0.1238  |   0.0911  | 0.1174 | 0.0821 |
|  alpha:0.1, factors:20  | 0.0014995 |   0.2638  |   0.2223  |   0.1467  |   0.1109  | 0.1348 | 0.0918 |
|  alpha:0.1, factors:40  | 0.0012831 |   0.3543  |   0.3094  |   0.1408  |   0.1059  | 0.1392 | 0.0929 |
|  alpha:0.1, factors:60  | 0.0011216 |   0.4265  |   0.3759  |   0.1384  |   0.1072  | 0.1353 | 0.0832 |
|  alpha:0.1, factors:100 | 0.0009072 |   0.5285  |   0.4659  |   0.1296  |   0.098   | 0.1156 | 0.0737 |
|   alpha:10, factors:5   | 0.0033962 |   0.2674  |   0.1833  |   0.1592  |   0.1065  | 0.1752 | 0.1083 |
|   alpha:10, factors:10  |  0.003367 |   0.4124  |   0.3006  |   0.2237  |   0.1592  | 0.2179 | 0.1382 |
|   alpha:10, factors:20  | 0.0031595 |   0.5331  |   0.4199  |   0.2554  |   0.1855  | 0.2447 | 0.1589 |
|   alpha:10, factors:40  | 0.0027167 |   0.6768  |   0.5539  |   0.2737  |   0.201   | 0.2562 | 0.1517 |
|   alpha:10, factors:60  |  0.00233  |   0.7527  |   0.6375  |   0.2787  |   0.2062  | 0.2483 | 0.1504 |
|  alpha:10, factors:100  | 0.0017545 |   0.8198  |   0.7117  |   0.2687  |   0.1998  | 0.233  | 0.1327 |
|   alpha:100, factors:5  | 0.0230353 |   0.2825  |   0.1841  |   0.1698  |   0.1083  | 0.1641 | 0.0973 |
|  alpha:100, factors:10  | 0.0189854 |   0.4423  |   0.3046  |   0.2208  |   0.1508  | 0.2127 | 0.126  |
|  alpha:100, factors:20  | 0.0133939 |   0.642   |   0.4869  |   0.2582  |   0.1829  | 0.2277 | 0.1285 |
|  alpha:100, factors:40  | 0.0082947 |   0.8017  |   0.661   |   0.2772  |   0.2043  | 0.2447 | 0.1441 |
|  alpha:100, factors:60  |  0.00588  |   0.8586  |   0.7382  |   0.2886  |   0.2154  | 0.2494 | 0.1465 |
|  alpha:100, factors:100 | 0.0035586 |   0.8896  |   0.7832  |   0.2862  |   0.2184  | 0.2447 | 0.1395 |
|  alpha:1000, factors:5  | 0.0706266 |   0.2151  |   0.1355  |   0.1057  |   0.069   | 0.0662 | 0.0355 |
|  alpha:1000, factors:10 | 0.0405797 |   0.4287  |   0.2922  |   0.1353  |   0.0916  | 0.085  | 0.0435 |
|  alpha:1000, factors:20 | 0.0222852 |   0.6687  |   0.5187  |   0.1722  |   0.117   | 0.1127 | 0.0485 |
|  alpha:1000, factors:40 |  0.011433 |   0.8312  |   0.7212  |   0.217   |   0.156   | 0.1727 | 0.0883 |
|  alpha:1000, factors:60 | 0.0074409 |   0.8681  |   0.7705  |   0.2443  |   0.1792  | 0.1751 | 0.0908 |
| alpha:1000, factors:100 | 0.0041401 |   0.8887  |   0.7933  |   0.2643  |   0.1993  | 0.2038 | 0.1057 |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
