+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|     Hyperparameters     |    MSE    | Visited@6 | Visited@3 | HitRate@6 | HitRate@3 |  AP@6  |  AP@3  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|   alpha:0.1, factors:5  | 0.0031403 |   0.1751  |   0.1244  |   0.1458  |   0.0988  | 0.1825 | 0.1305 |
|  alpha:0.1, factors:10  | 0.0026439 |   0.2734  |   0.2349  |   0.2224  |   0.1725  | 0.2403 | 0.1844 |
|  alpha:0.1, factors:20  | 0.0020782 |   0.3782  |   0.3311  |   0.2432  |   0.187   | 0.2353 | 0.1767 |
|  alpha:0.1, factors:40  | 0.0014522 |   0.5161  |   0.4615  |   0.2231  |   0.1742  | 0.2068 | 0.1538 |
|  alpha:0.1, factors:60  |  0.001068 |   0.5926  |   0.5315  |   0.2006  |   0.153   | 0.1804 | 0.133  |
|  alpha:0.1, factors:100 | 0.0005861 |   0.6758  |   0.6073  |   0.1472  |   0.1113  | 0.1113 | 0.0726 |
|   alpha:10, factors:5   | 0.0067609 |   0.3888  |   0.3107  |   0.245   |   0.1861  | 0.2704 | 0.1813 |
|   alpha:10, factors:10  | 0.0055413 |   0.5274  |   0.4328  |   0.311   |   0.2396  | 0.3162 | 0.2381 |
|   alpha:10, factors:20  | 0.0043744 |   0.6474  |   0.5311  |   0.3527  |   0.2758  |  0.34  | 0.2597 |
|   alpha:10, factors:40  | 0.0028469 |   0.7751  |   0.6559  |   0.3647  |   0.2886  | 0.3383 | 0.2224 |
|   alpha:10, factors:60  | 0.0019034 |   0.8458  |   0.7285  |   0.3543  |   0.281   | 0.3282 | 0.1783 |
|  alpha:10, factors:100  | 0.0009183 |   0.8994  |   0.7938  |   0.3275  |   0.2645  | 0.2177 | 0.127  |
|   alpha:100, factors:5  |  0.027423 |   0.4069  |   0.283   |   0.2285  |   0.1578  | 0.234  | 0.1481 |
|  alpha:100, factors:10  | 0.0191949 |   0.5925  |   0.4534  |   0.2993  |   0.2237  | 0.2741 | 0.1865 |
|  alpha:100, factors:20  | 0.0113357 |   0.7686  |   0.6191  |   0.3508  |   0.2665  | 0.3199 | 0.2288 |
|  alpha:100, factors:40  | 0.0055378 |   0.8939  |   0.7644  |   0.3679  |   0.2915  | 0.3326 | 0.2262 |
|  alpha:100, factors:60  | 0.0032684 |   0.9299  |   0.8168  |   0.3716  |   0.2925  | 0.3397 | 0.2225 |
|  alpha:100, factors:100 | 0.0013952 |   0.9445  |   0.8446  |   0.3567  |   0.2817  | 0.319  | 0.1662 |
|  alpha:1000, factors:5  | 0.0580874 |   0.3204  |   0.1885  |   0.155   |   0.0916  | 0.1389 | 0.065  |
|  alpha:1000, factors:10 | 0.0339975 |   0.5529  |   0.4068  |   0.2359  |   0.1738  | 0.1502 | 0.071  |
|  alpha:1000, factors:20 | 0.0178573 |   0.8004  |   0.6547  |   0.2607  |   0.203   | 0.1754 | 0.0792 |
|  alpha:1000, factors:40 | 0.0075625 |   0.9031  |   0.7986  |    0.32   |   0.2534  | 0.224  | 0.1455 |
|  alpha:1000, factors:60 | 0.0039973 |   0.9262  |   0.8283  |   0.3472  |   0.2741  | 0.2999 | 0.1959 |
| alpha:1000, factors:100 | 0.0015213 |   0.9423  |   0.8479  |   0.3535  |   0.2834  | 0.2986 | 0.165  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
