+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|     Hyperparameters     |    MSE    | Visited@6 | Visited@3 | HitRate@6 | HitRate@3 |  AP@6  |  AP@3  |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
|   alpha:0.1, factors:5  | 0.0008366 |   0.2165  |   0.1772  |   0.1566  |   0.1072  | 0.2003 | 0.1314 |
|  alpha:0.1, factors:10  | 0.0007338 |   0.317   |   0.298   |   0.1418  |   0.0958  | 0.1386 | 0.0838 |
|  alpha:0.1, factors:20  | 0.0006284 |   0.4283  |   0.4033  |   0.1336  |   0.0925  | 0.1412 | 0.0891 |
|  alpha:0.1, factors:40  | 0.0005252 |   0.5472  |   0.5198  |   0.0974  |   0.0712  | 0.0812 | 0.0456 |
|  alpha:0.1, factors:60  | 0.0004547 |   0.6059  |   0.5759  |   0.0731  |   0.0548  | 0.0541 | 0.0337 |
|  alpha:0.1, factors:100 | 0.0003679 |   0.689   |   0.6541  |   0.0572  |   0.0432  | 0.0446 | 0.0299 |
|   alpha:10, factors:5   | 0.0014554 |   0.4471  |   0.3447  |   0.1859  |   0.1273  | 0.1957 | 0.1182 |
|   alpha:10, factors:10  |  0.001357 |   0.579   |   0.4798  |   0.2069  |   0.1453  | 0.1982 | 0.1177 |
|   alpha:10, factors:20  | 0.0012314 |   0.6957  |   0.6166  |   0.1951  |   0.1483  | 0.1839 | 0.1111 |
|   alpha:10, factors:40  | 0.0010696 |   0.7827  |   0.7205  |   0.1746  |   0.1344  | 0.1518 | 0.0973 |
|   alpha:10, factors:60  | 0.0009545 |   0.828   |   0.7659  |   0.1485  |   0.1147  |  0.12  | 0.0811 |
|  alpha:10, factors:100  |  0.000794 |   0.8684  |   0.8074  |   0.1257  |   0.1034  | 0.101  | 0.0691 |
|   alpha:100, factors:5  | 0.0099308 |   0.4212  |   0.2804  |   0.1856  |   0.1171  | 0.1715 | 0.1088 |
|  alpha:100, factors:10  | 0.0089387 |   0.6182  |   0.4755  |   0.216   |   0.1491  | 0.1862 | 0.107  |
|  alpha:100, factors:20  | 0.0072445 |    0.77   |   0.6653  |   0.2253  |   0.165   | 0.1862 | 0.1074 |
|  alpha:100, factors:40  | 0.0051197 |   0.8724  |   0.7906  |   0.2298  |   0.1758  | 0.1905 | 0.1048 |
|  alpha:100, factors:60  | 0.0038904 |   0.916   |   0.8372  |   0.2231  |   0.1732  | 0.1932 | 0.1132 |
|  alpha:100, factors:100 | 0.0025446 |   0.9528  |   0.8779  |   0.2053  |   0.1635  | 0.1714 | 0.1095 |
|  alpha:1000, factors:5  | 0.0466641 |   0.315   |   0.1966  |   0.1247  |   0.0745  | 0.111  | 0.0554 |
|  alpha:1000, factors:10 | 0.0284846 |   0.496   |   0.3324  |   0.1231  |   0.075   | 0.0909 | 0.0531 |
|  alpha:1000, factors:20 | 0.0161513 |   0.7351  |   0.5774  |   0.1457  |   0.108   | 0.1084 | 0.0567 |
|  alpha:1000, factors:40 | 0.0084552 |   0.9026  |   0.8017  |   0.186   |   0.1234  | 0.1524 | 0.0723 |
|  alpha:1000, factors:60 | 0.0056279 |   0.9432  |   0.875   |   0.1972  |   0.1472  | 0.142  | 0.0751 |
| alpha:1000, factors:100 | 0.0032623 |   0.9594  |   0.9026  |   0.1984  |   0.151   | 0.1497 | 0.0858 |
+-------------------------+-----------+-----------+-----------+-----------+-----------+--------+--------+
